frequency_hz,snr_db,repeat,feature,window_size,sta_size,lta_size,label_onset,label_end,label_width_samples,retained_scale_count,snr_definition,pearson_abs
100,-10,48,K,21,30,150,213,237,25,84,full_trace_mean_square,0.08575767062290453
100,-10,49,M,21,30,150,213,237,25,107,full_trace_mean_square,0.5890637463813065
100,-10,49,P,21,30,150,213,237,25,107,full_trace_mean_square,0.805607463160844
100,-10,49,SLTA,21,30,150,213,237,25,107,full_trace_mean_square,0.6702881401511871
100,-10,49,Std,21,30,150,213,237,25,107,full_trace_mean_square,0.6682524444696752
100,-10,49,S,21,30,150,213,237,25,107,full_trace_mean_square,0.1850888648635715
100,-10,49,K,21,30,150,213,237,25,107,full_trace_mean_square,0.3282158359027462
100,-10,50,M,21,30,150,213,237,25,123,full_trace_mean_square,0.6167113550735779
100,-10,50,P,21,30,150,213,237,25,123,full_trace_mean_square,0.8655166377845329
100,-10,50,SLTA,21,30,150,213,237,25,123,full_trace_mean_square,0.6567562861888686
100,-10,50,Std,21,30,150,213,237,25,123,full_trace_mean_square,0.7518540364515776
100,-10,50,S,21,30,150,213,237,25,123,full_trace_mean_square,0.2814657039673987
100,-10,50,K,21,30,150,213,237,25,123,full_trace_mean_square,0.4135062250486869
100,-10,51,M,21,30,150,213,237,25,99,full_trace_mean_square,0.8130512619612248
100,-10,51,P,21,30,150,213,237,25,99,full_trace_mean_square,0.9216587262827027
100,-10,51,SLTA,21,30,150,213,237,25,99,full_trace_mean_square,0.7701283658045132
100,-10,51,Std,21,30,150,213,237,25,99,full_trace_mean_square,0.8483422982962486
100,-10,51,S,21,30,150,213,237,25,99,full_trace_mean_square,0.22196131084854676
100,-10,51,K,21,30,150,213,237,25,99,full_trace_mean_square,0.2689220824995552
100,-10,52,M,21,30,150,213,237,25,111,full_trace_mean_square,0.7322111342969243
100,-10,52,P,21,30,150,213,237,25,111,full_trace_mean_square,0.8727027908190269
100,-10,52,SLTA,21,30,150,213,237,25,111,full_trace_mean_square,0.7659824070411965
100,-10,52,Std,21,30,150,213,237,25,111,full_trace_mean_square,0.7933810462185258
100,-10,52,S,21,30,150,213,237,25,111,full_trace_mean_square,0.24504936590364693
100,-10,52,K,21,30,150,213,237,25,111,full_trace_mean_square,0.301107121347889
100,-10,53,M,21,30,150,213,237,25,111,full_trace_mean_square,0.6730151022333632
100,-10,53,P,21,30,150,213,237,25,111,full_trace_mean_square,0.8315600153899885
